"filename", "language", "C++", "comment", "blank", "total"
"/home/alberic/Documents/Projet/ramio_project/src/Animation.cpp", "C++", 23, 4, 7, 34
"/home/alberic/Documents/Projet/ramio_project/src/Audio.cpp", "C++", 93, 5, 23, 121
"/home/alberic/Documents/Projet/ramio_project/src/Bloc.cpp", "C++", 69, 7, 21, 97
"/home/alberic/Documents/Projet/ramio_project/src/Confetti.cpp", "C++", 23, 0, 7, 30
"/home/alberic/Documents/Projet/ramio_project/src/Ennemi.cpp", "C++", 37, 1, 8, 46
"/home/alberic/Documents/Projet/ramio_project/src/Entity.cpp", "C++", 53, 8, 17, 78
"/home/alberic/Documents/Projet/ramio_project/src/FinJeu.cpp", "C++", 70, 15, 18, 103
"/home/alberic/Documents/Projet/ramio_project/src/Level.cpp", "C++", 240, 22, 44, 306
"/home/alberic/Documents/Projet/ramio_project/src/Menu.cpp", "C++", 163, 0, 19, 182
"/home/alberic/Documents/Projet/ramio_project/src/Player.cpp", "C++", 180, 12, 33, 225
"/home/alberic/Documents/Projet/ramio_project/src/main.cpp", "C++", 170, 14, 26, 210
"Total", "-", 1121, 88, 223, 1432
